book,chapter,verse,word,strongs_ref,order
2_john,1,1,The,,0
2_john,1,1,elder,G4245,1
2_john,1,1,unto the,,2
2_john,1,1,elect,G1588,3
2_john,1,1,lady,G2959,5
2_john,1,1,and,G2532,7
2_john,1,1,her,G846,9
2_john,1,1,"children,",G5043,11
2_john,1,1,whom,G3739,13
2_john,1,1,I,G1473,15
2_john,1,1,love,G25,17
2_john,1,1,in,G1722,19
2_john,1,1,the,,20
2_john,1,1,truth;,G225,21
2_john,1,1,and,G2532,23
2_john,1,1,not,G3756,25
2_john,1,1,I,G1473,27
2_john,1,1,"only,",G3441,29
2_john,1,1,but,G235,31
2_john,1,1,also,G2532,33
2_john,1,1,all,G3956,35
2_john,1,1,they that have,,36
2_john,1,1,known,G1097,37
2_john,1,1,the,,38
2_john,1,1,truth;,G225,39
2_john,1,2,For,G1223,42
2_john,1,2,the truth's,,43
2_john,1,2,"sake,",G225,44
2_john,1,2,which,G3588,46
2_john,1,2,dwelleth,G3306,48
2_john,1,2,in,G1722,50
2_john,1,2,"us,",G2254,52
2_john,1,2,and,G2532,54
2_john,1,2,shall,,55
2_john,1,2,be,G2071,56
2_john,1,2,with,G3326,58
2_john,1,2,us,G2257,60
2_john,1,2,for,G1519,62
2_john,1,2,ever.,G165,64
2_john,1,3,Grace,G5485,67
2_john,1,3,be,G2071,69
2_john,1,3,with,G3326,71
2_john,1,3,"you,",G5216,73
2_john,1,3,"mercy,",G1656,75
2_john,1,3,and,,76
2_john,1,3,"peace,",G1515,77
2_john,1,3,from,G3844,79
2_john,1,3,God,G2316,81
2_john,1,3,the,,82
2_john,1,3,"Father,",G3962,83
2_john,1,3,and,G2532,85
2_john,1,3,from,G3844,87
2_john,1,3,the,,88
2_john,1,3,Lord,G2962,89
2_john,1,3,Jesus,G2424,91
2_john,1,3,"Christ,",G5547,93
2_john,1,3,the,,94
2_john,1,3,Son,G5207,95
2_john,1,3,of the,,96
2_john,1,3,"Father,",G3962,97
2_john,1,3,in,G1722,99
2_john,1,3,truth,G225,101
2_john,1,3,and,G2532,103
2_john,1,3,love.,G26,105
2_john,1,4,I,,107
2_john,1,4,rejoiced,G5463,108
2_john,1,4,greatly,G3029,110
2_john,1,4,that,G3754,112
2_john,1,4,I,,113
2_john,1,4,found,G2147,114
2_john,1,4,of,G1537,116
2_john,1,4,thy,G4675,118
2_john,1,4,children,G5043,120
2_john,1,4,walking,G4043,122
2_john,1,4,in,G1722,124
2_john,1,4,"truth,",G225,126
2_john,1,4,as,G2531,128
2_john,1,4,we have,,129
2_john,1,4,received,G2983,130
2_john,1,4,a,,131
2_john,1,4,commandment,G1785,132
2_john,1,4,from,G3844,134
2_john,1,4,the,,135
2_john,1,4,Father.,G3962,136
2_john,1,5,And,G2532,139
2_john,1,5,now,G3568,141
2_john,1,5,I,,142
2_john,1,5,beseech,G2065,143
2_john,1,5,"thee,",G4571,145
2_john,1,5,"lady,",G2959,147
2_john,1,5,not,G3756,149
2_john,1,5,as,,150
2_john,1,5,though,G5613,151
2_john,1,5,I,,152
2_john,1,5,wrote,G1125,153
2_john,1,5,(5719),G1125,155
2_john,1,5,a,,156
2_john,1,5,new,G2537,157
2_john,1,5,commandment,G1785,159
2_john,1,5,unto,,160
2_john,1,5,"thee,",G4671,161
2_john,1,5,but,G235,163
2_john,1,5,that,,164
2_john,1,5,which,G3739,165
2_john,1,5,we,,166
2_john,1,5,had,G2192,167
2_john,1,5,from,G575,169
2_john,1,5,the,,170
2_john,1,5,"beginning,",G746,171
2_john,1,5,that,G2443,173
2_john,1,5,we,,174
2_john,1,5,love,G25,175
2_john,1,5,one,,176
2_john,1,5,another.,G240,177
2_john,1,6,And,G2532,180
2_john,1,6,this,G3778,182
2_john,1,6,is,G2076,184
2_john,1,6,"love,",G26,186
2_john,1,6,that,G2443,188
2_john,1,6,we,,189
2_john,1,6,walk,G4043,190
2_john,1,6,after,G2596,192
2_john,1,6,his,G846,194
2_john,1,6,commandments.,G1785,196
2_john,1,6,This,G3778,198
2_john,1,6,is,G2076,200
2_john,1,6,the,,201
2_john,1,6,"commandment,",G1785,202
2_john,1,6,"That,",G2443,204
2_john,1,6,as,G2531,206
2_john,1,6,ye have,,207
2_john,1,6,heard,G191,208
2_john,1,6,from,G575,210
2_john,1,6,the,,211
2_john,1,6,"beginning,",G746,212
2_john,1,6,ye should,,213
2_john,1,6,walk,G4043,214
2_john,1,6,in,G1722,216
2_john,1,6,it.,G846,218
2_john,1,7,For,G3754,221
2_john,1,7,many,G4183,223
2_john,1,7,deceivers,G4108,225
2_john,1,7,are,,226
2_john,1,7,entered,G1525,227
2_john,1,7,into,G1519,229
2_john,1,7,the,,230
2_john,1,7,"world,",G2889,231
2_john,1,7,who,G3588,233
2_john,1,7,confess,G3670,235
2_john,1,7,not,G3361,237
2_john,1,7,that,,238
2_john,1,7,Jesus,G2424,239
2_john,1,7,Christ,G5547,241
2_john,1,7,is,,242
2_john,1,7,come,G2064,243
2_john,1,7,in,G1722,245
2_john,1,7,the,,246
2_john,1,7,flesh.,G4561,247
2_john,1,7,This,G3778,249
2_john,1,7,is,G2076,251
2_john,1,7,a,,252
2_john,1,7,deceiver,G4108,253
2_john,1,7,and,G2532,255
2_john,1,7,an,,256
2_john,1,7,antichrist.,G500,257
2_john,1,8,Look,G991,260
2_john,1,8,to,,261
2_john,1,8,"yourselves,",G1438,262
2_john,1,8,that,G3363,264
2_john,1,8,we,,265
2_john,1,8,lose,G622,266
2_john,1,8,not,G3363,268
2_john,1,8,those things,,269
2_john,1,8,which,G3739,270
2_john,1,8,we have,,271
2_john,1,8,wrought,G2038,272
2_john,1,8,",",,273
2_john,1,8,but,G235,274
2_john,1,8,that we,,275
2_john,1,8,receive,G618,276
2_john,1,8,a,,277
2_john,1,8,full,G4134,278
2_john,1,8,reward.,G3408,280
2_john,1,9,Whosoever,G3956,283
2_john,1,9,transgresseth,G3845,285
2_john,1,9,",",,286
2_john,1,9,and,G2532,287
2_john,1,9,abideth,G3306,289
2_john,1,9,not,G3361,291
2_john,1,9,in,G1722,293
2_john,1,9,the,,294
2_john,1,9,doctrine,G1322,295
2_john,1,9,of,,296
2_john,1,9,"Christ,",G5547,297
2_john,1,9,hath,G2192,299
2_john,1,9,not,G3756,301
2_john,1,9,God.,G2316,303
2_john,1,9,He that,,304
2_john,1,9,abideth,G3306,305
2_john,1,9,in,G1722,307
2_john,1,9,the,,308
2_john,1,9,doctrine,G1322,309
2_john,1,9,of,,310
2_john,1,9,"Christ,",G5547,311
2_john,1,9,he,G3778,313
2_john,1,9,hath,G2192,315
2_john,1,9,both,G2532,317
2_john,1,9,the,,318
2_john,1,9,Father,G3962,319
2_john,1,9,and,G2532,321
2_john,1,9,the,,322
2_john,1,9,Son.,G5207,323
2_john,1,10,If,G1536,326
2_john,1,10,there,,327
2_john,1,10,come,G2064,328
2_john,1,10,any,G5100,330
2_john,1,10,*,G1536,332
2_john,1,10,unto,G4314,334
2_john,1,10,"you,",G5209,336
2_john,1,10,and,G2532,338
2_john,1,10,bring,G5342,340
2_john,1,10,not,G3756,342
2_john,1,10,this,G5026,344
2_john,1,10,"doctrine,",G1322,346
2_john,1,10,receive,G2983,348
2_john,1,10,him,G846,350
2_john,1,10,not,G3361,352
2_john,1,10,into,G1519,354
2_john,1,10,your,,355
2_john,1,10,"house,",G3614,356
2_john,1,10,neither,G3361,358
2_john,1,10,*,G2532,360
2_john,1,10,bid,G3004,362
2_john,1,10,him,G846,364
2_john,1,10,God,,365
2_john,1,10,speed,G5463,366
2_john,1,10,:,,367
2_john,1,11,For,G1063,369
2_john,1,11,he that,,370
2_john,1,11,biddeth,G3004,371
2_john,1,11,him,G846,373
2_john,1,11,God,,374
2_john,1,11,speed,G5463,375
2_john,1,11,is,,376
2_john,1,11,partaker,G2841,377
2_john,1,11,of,,378
2_john,1,11,his,G846,379
2_john,1,11,evil,G4190,381
2_john,1,11,deeds.,G2041,383
2_john,1,12,Having,G2192,386
2_john,1,12,many,,387
2_john,1,12,things,G4183,388
2_john,1,12,to,,389
2_john,1,12,write,G1125,390
2_john,1,12,unto,,391
2_john,1,12,"you,",G5213,392
2_john,1,12,I,,393
2_john,1,12,would,G1014,394
2_john,1,12,not,G3756,396
2_john,1,12,write,,397
2_john,1,12,with,G1223,398
2_john,1,12,paper,G5489,400
2_john,1,12,and,G2532,402
2_john,1,12,ink:,G3188,404
2_john,1,12,but,G235,406
2_john,1,12,I,,407
2_john,1,12,trust,G1679,408
2_john,1,12,to,,409
2_john,1,12,come,G2064,410
2_john,1,12,unto,G4314,412
2_john,1,12,"you,",G5209,414
2_john,1,12,and,G2532,416
2_john,1,12,speak,G2980,418
2_john,1,12,face,G4750,420
2_john,1,12,to,G4314,422
2_john,1,12,"face,",G4750,424
2_john,1,12,that,G2443,426
2_john,1,12,our,G2257,428
2_john,1,12,joy,G5479,430
2_john,1,12,may,,431
2_john,1,12,be,G5600,432
2_john,1,12,full,G4137,434
2_john,1,12,.,,435
2_john,1,13,The,,436
2_john,1,13,children,G5043,437
2_john,1,13,of,,438
2_john,1,13,thy,G4675,439
2_john,1,13,elect,G1588,441
2_john,1,13,sister,G79,443
2_john,1,13,greet,G782,445
2_john,1,13,thee.,G4571,447
2_john,1,13,Amen.,G281,449
