book,chapter,verse,word,strongs_ref,order
2_peter,1,1,Simon,G4826,1
2_peter,1,1,"Peter,",G4074,3
2_peter,1,1,a,,4
2_peter,1,1,servant,G1401,5
2_peter,1,1,and,G2532,7
2_peter,1,1,an,,8
2_peter,1,1,apostle,G652,9
2_peter,1,1,of,,10
2_peter,1,1,Jesus,G2424,11
2_peter,1,1,"Christ,",G5547,13
2_peter,1,1,to them that have,,14
2_peter,1,1,obtained,G2975,15
2_peter,1,1,like,,16
2_peter,1,1,precious,G2472,17
2_peter,1,1,faith,G4102,19
2_peter,1,1,with,,20
2_peter,1,1,us,G2254,21
2_peter,1,1,through,G1722,23
2_peter,1,1,the,,24
2_peter,1,1,righteousness,G1343,25
2_peter,1,1,of,,26
2_peter,1,1,God,G2316,27
2_peter,1,1,and,G2532,29
2_peter,1,1,our,G2257,31
2_peter,1,1,Saviour,G4990,33
2_peter,1,1,Jesus,G2424,35
2_peter,1,1,Christ:,G5547,37
2_peter,1,2,Grace,G5485,40
2_peter,1,2,and,G2532,42
2_peter,1,2,peace,G1515,44
2_peter,1,2,be,,45
2_peter,1,2,multiplied,G4129,46
2_peter,1,2,unto,,47
2_peter,1,2,you,G5213,48
2_peter,1,2,through,G1722,50
2_peter,1,2,the,,51
2_peter,1,2,knowledge,G1922,52
2_peter,1,2,of,,53
2_peter,1,2,"God,",G2316,54
2_peter,1,2,and,G2532,56
2_peter,1,2,of,,57
2_peter,1,2,Jesus,G2424,58
2_peter,1,2,our,G2257,60
2_peter,1,2,"Lord,",G2962,62
2_peter,1,3,According,,64
2_peter,1,3,as,G5613,65
2_peter,1,3,his,G846,67
2_peter,1,3,divine,G2304,69
2_peter,1,3,power,G1411,71
2_peter,1,3,hath,,72
2_peter,1,3,given,G1433,73
2_peter,1,3,unto,,74
2_peter,1,3,us,G2254,75
2_peter,1,3,all,,76
2_peter,1,3,things,G3956,77
2_peter,1,3,that pertain,,78
2_peter,1,3,unto,G4314,79
2_peter,1,3,life,G2222,81
2_peter,1,3,and,G2532,83
2_peter,1,3,"godliness,",G2150,85
2_peter,1,3,through,G1223,87
2_peter,1,3,the,,88
2_peter,1,3,knowledge,G1922,89
2_peter,1,3,of him that hath,,90
2_peter,1,3,called,G2564,91
