book,chapter,verse,word,strongs_ref,order
2_thessalonians,1,1,"Paul,",G3972,1
2_thessalonians,1,1,and,G2532,3
2_thessalonians,1,1,"Silvanus,",G4610,5
2_thessalonians,1,1,and,G2532,7
2_thessalonians,1,1,"Timotheus,",G5095,9
2_thessalonians,1,1,unto the,,10
2_thessalonians,1,1,church,G1577,11
2_thessalonians,1,1,of the,,12
2_thessalonians,1,1,Thessalonians,G2331,13
2_thessalonians,1,1,in,G1722,15
2_thessalonians,1,1,God,G2316,17
2_thessalonians,1,1,our,G2257,19
2_thessalonians,1,1,Father,G3962,21
2_thessalonians,1,1,and,G2532,23
2_thessalonians,1,1,the,,24
2_thessalonians,1,1,Lord,G2962,25
2_thessalonians,1,1,Jesus,G2424,27
2_thessalonians,1,1,Christ:,G5547,29
2_thessalonians,1,2,Grace,G5485,32
2_thessalonians,1,2,unto,,33
2_thessalonians,1,2,"you,",G5213,34
2_thessalonians,1,2,and,G2532,36
2_thessalonians,1,2,"peace,",G1515,38
2_thessalonians,1,2,from,G575,40
2_thessalonians,1,2,God,G2316,42
2_thessalonians,1,2,our,G2257,44
2_thessalonians,1,2,Father,G3962,46
2_thessalonians,1,2,and,G2532,48
2_thessalonians,1,2,the,,49
2_thessalonians,1,2,Lord,G2962,50
2_thessalonians,1,2,Jesus,G2424,52
2_thessalonians,1,2,Christ.,G5547,54
2_thessalonians,1,3,We are,,56
2_thessalonians,1,3,bound,G3784,57
2_thessalonians,1,3,to,,58
2_thessalonians,1,3,thank,G2168,59
2_thessalonians,1,3,God,G2316,61
2_thessalonians,1,3,always,G3842,63
2_thessalonians,1,3,for,G4012,65
2_thessalonians,1,3,"you,",G5216,67
2_thessalonians,1,3,"brethren,",G80,69
2_thessalonians,1,3,as,G2531,71
2_thessalonians,1,3,it,,72
2_thessalonians,1,3,is,G2076,73
2_thessalonians,1,3,"meet,",G514,75
2_thessalonians,1,3,because,G3754,77
2_thessalonians,1,3,that,,78
2_thessalonians,1,3,your,G5216,79
2_thessalonians,1,3,faith,G4102,81
2_thessalonians,1,3,groweth,,82
2_thessalonians,1,3,exceedingly,G5232,83
2_thessalonians,1,3,",",,84
2_thessalonians,1,3,and,G2532,85
2_thessalonians,1,3,the,,86
2_thessalonians,1,3,charity,G26,87
2_thessalonians,1,3,of,,88
2_thessalonians,1,3,every,G1538,89
2_thessalonians,1,3,one,G1520,91
2_thessalonians,1,3,of,,92
2_thessalonians,1,3,you,G5216,93
2_thessalonians,1,3,all,G3956,95
2_thessalonians,1,3,toward,G1519,97
2_thessalonians,1,3,each,,98
2_thessalonians,1,3,other,G240,99
2_thessalonians,1,3,aboundeth,G4121,101
2_thessalonians,1,3,;,,102
2_thessalonians,1,4,So,G5620,104
2_thessalonians,1,4,that,,105
2_thessalonians,1,4,we,G2248,106
2_thessalonians,1,4,ourselves,G846,108
2_thessalonians,1,4,glory,G2744,110
2_thessalonians,1,4,in,G1722,112
2_thessalonians,1,4,you,G5213,114
2_thessalonians,1,4,in,G1722,116
2_thessalonians,1,4,the,,117
2_thessalonians,1,4,churches,G1577,118
2_thessalonians,1,4,of,,119
2_thessalonians,1,4,God,G2316,120
2_thessalonians,1,4,for,G5228,122
2_thessalonians,1,4,your,G5216,124
2_thessalonians,1,4,patience,G5281,126
2_thessalonians,1,4,and,G2532,128
2_thessalonians,1,4,faith,G4102,130
2_thessalonians,1,4,in,G1722,132
2_thessalonians,1,4,all,G3956,134
2_thessalonians,1,4,your,G5216,136
2_thessalonians,1,4,persecutions,G1375,138
2_thessalonians,1,4,and,G2532,140
2_thessalonians,1,4,tribulations,G2347,142
2_thessalonians,1,4,that,G3739,144
2_thessalonians,1,4,ye,,145
2_thessalonians,1,4,endure,G430,146
2_thessalonians,1,4,:,,147
2_thessalonians,1,5,Which is a manifest,,148
2_thessalonians,1,5,token,G1730,149
2_thessalonians,1,5,of the,,150
2_thessalonians,1,5,righteous,G1342,151
2_thessalonians,1,5,judgment,G2920,153
2_thessalonians,1,5,of,,154
2_thessalonians,1,5,"God,",G2316,155
2_thessalonians,1,5,that,G1519,157
2_thessalonians,1,5,ye,G5209,159
2_thessalonians,1,5,may be counted,,160
2_thessalonians,1,5,worthy,G2661,161
2_thessalonians,1,5,of the,,162
2_thessalonians,1,5,kingdom,G932,163
2_thessalonians,1,5,of,,164
2_thessalonians,1,5,"God,",G2316,165
2_thessalonians,1,5,for,G5228,167
2_thessalonians,1,5,which,G3739,169
2_thessalonians,1,5,ye,G3958,171
2_thessalonians,1,5,also,G2532,173
2_thessalonians,1,5,suffer,G3958,175
2_thessalonians,1,5,:,,176
2_thessalonians,1,6,Seeing,G1512,178
2_thessalonians,1,6,it is a righteous,,179
2_thessalonians,1,6,thing,G1342,180
2_thessalonians,1,6,with,G3844,182
2_thessalonians,1,6,God,G2316,184
2_thessalonians,1,6,to,,185
2_thessalonians,1,6,recompense,G467,186
2_thessalonians,1,6,tribulation,G2347,188
2_thessalonians,1,6,to them that,,189
2_thessalonians,1,6,trouble,G2346,190
2_thessalonians,1,6,you;,G5209,192
2_thessalonians,1,7,And,G2532,195
2_thessalonians,1,7,to,,196
2_thessalonians,1,7,you,G5213,197
2_thessalonians,1,7,who are,,198
2_thessalonians,1,7,troubled,G2346,199
2_thessalonians,1,7,rest,G425,201
2_thessalonians,1,7,with,G3326,203
2_thessalonians,1,7,"us,",G2257,205
2_thessalonians,1,7,when,G1722,207
2_thessalonians,1,7,the,,208
2_thessalonians,1,7,Lord,G2962,209
2_thessalonians,1,7,Jesus,G2424,211
2_thessalonians,1,7,shall be,,212
2_thessalonians,1,7,revealed,G602,213
2_thessalonians,1,7,from,G575,215
2_thessalonians,1,7,heaven,G3772,217
2_thessalonians,1,7,with,G3326,219
2_thessalonians,1,7,his,G846,221
2_thessalonians,1,7,mighty,G1411,223
2_thessalonians,1,7,"angels,",G32,225
2_thessalonians,1,8,In,G1722,228
2_thessalonians,1,8,flaming,G5395,230
2_thessalonians,1,8,fire,G4442,232
2_thessalonians,1,8,taking,G1325,234
2_thessalonians,1,8,vengeance,G1557,236
2_thessalonians,1,8,on them that,,237
2_thessalonians,1,8,know,G1492,238
2_thessalonians,1,8,not,G3361,240
2_thessalonians,1,8,"God,",G2316,242
2_thessalonians,1,8,and,G2532,244
2_thessalonians,1,8,that,,245
2_thessalonians,1,8,obey,G5219,246
2_thessalonians,1,8,not,G3361,248
2_thessalonians,1,8,the,,249
2_thessalonians,1,8,gospel,G2098,250
2_thessalonians,1,8,of,,251
2_thessalonians,1,8,our,G2257,252
2_thessalonians,1,8,Lord,G2962,254
2_thessalonians,1,8,Jesus,G2424,256
2_thessalonians,1,8,Christ:,G5547,258
2_thessalonians,1,9,Who,G3748,261
2_thessalonians,1,9,shall be,,262
2_thessalonians,1,9,punished,G5099,263
2_thessalonians,1,9,*,G1349,265
2_thessalonians,1,9,with,,266
2_thessalonians,1,9,everlasting,G166,267
2_thessalonians,1,9,destruction,G3639,269
2_thessalonians,1,9,from,G575,271
2_thessalonians,1,9,the,,272
2_thessalonians,1,9,presence,G4383,273
2_thessalonians,1,9,of the,,274
2_thessalonians,1,9,"Lord,",G2962,275
2_thessalonians,1,9,and,G2532,277
2_thessalonians,1,9,from,G575,279
2_thessalonians,1,9,the,,280
2_thessalonians,1,9,glory,G1391,281
2_thessalonians,1,9,of,,282
2_thessalonians,1,9,his,G846,283
2_thessalonians,1,9,power;,G2479,285
2_thessalonians,1,10,When,G3752,288
2_thessalonians,1,10,he shall,,289
2_thessalonians,1,10,come,G2064,290
2_thessalonians,1,10,to be,,291
2_thessalonians,1,10,glorified,G1740,292
2_thessalonians,1,10,in,G1722,294
2_thessalonians,1,10,his,G846,296
2_thessalonians,1,10,"saints,",G40,298
2_thessalonians,1,10,and,G2532,300
2_thessalonians,1,10,to be,,301
2_thessalonians,1,10,admired,G2296,302
2_thessalonians,1,10,in,G1722,304
2_thessalonians,1,10,all,G3956,306
2_thessalonians,1,10,them that,,307
2_thessalonians,1,10,believe,G4100,308
2_thessalonians,1,10,(5723),G3754,310
2_thessalonians,1,10,(because,,311
2_thessalonians,1,10,our,G2257,312
2_thessalonians,1,10,testimony,G3142,314
2_thessalonians,1,10,among,G1909,316
2_thessalonians,1,10,you,G5209,318
2_thessalonians,1,10,was,,319
2_thessalonians,1,10,believed,G4100,320
2_thessalonians,1,10,),,321
2_thessalonians,1,10,in,G1722,322
2_thessalonians,1,10,that,G1565,324
2_thessalonians,1,10,day.,G2250,326
2_thessalonians,1,11,Wherefore,G3739,329
2_thessalonians,1,11,*,G1519,331
2_thessalonians,1,11,also,G2532,333
2_thessalonians,1,11,we,,334
2_thessalonians,1,11,pray,G4336,335
2_thessalonians,1,11,always,G3842,337
2_thessalonians,1,11,for,G4012,339
2_thessalonians,1,11,"you,",G5216,341
2_thessalonians,1,11,that,G2443,343
2_thessalonians,1,11,our,G2257,345
2_thessalonians,1,11,God,G2316,347
2_thessalonians,1,11,would,,348
2_thessalonians,1,11,count,G515,349
2_thessalonians,1,11,you,G5209,351
2_thessalonians,1,11,worthy,G515,353
2_thessalonians,1,11,of this,,354
2_thessalonians,1,11,"calling,",G2821,355
2_thessalonians,1,11,and,G2532,357
2_thessalonians,1,11,fulfil,G4137,359
2_thessalonians,1,11,all,G3956,361
2_thessalonians,1,11,the good,,362
2_thessalonians,1,11,pleasure,G2107,363
2_thessalonians,1,11,of his,,364
2_thessalonians,1,11,"goodness,",G19,365
2_thessalonians,1,11,and,G2532,367
2_thessalonians,1,11,the,,368
2_thessalonians,1,11,work,G2041,369
2_thessalonians,1,11,of,,370
2_thessalonians,1,11,faith,G4102,371
2_thessalonians,1,11,with,G1722,373
2_thessalonians,1,11,power:,G1411,375
2_thessalonians,1,12,That,G3704,378
2_thessalonians,1,12,the,,379
2_thessalonians,1,12,name,G3686,380
2_thessalonians,1,12,of,,381
2_thessalonians,1,12,our,G2257,382
2_thessalonians,1,12,Lord,G2962,384
2_thessalonians,1,12,Jesus,G2424,386
2_thessalonians,1,12,Christ,G5547,388
2_thessalonians,1,12,may be,,389
2_thessalonians,1,12,glorified,G1740,390
2_thessalonians,1,12,in,G1722,392
2_thessalonians,1,12,"you,",G5213,394
2_thessalonians,1,12,and,G2532,396
2_thessalonians,1,12,ye,G5210,398
2_thessalonians,1,12,in,G1722,400
2_thessalonians,1,12,"him,",G846,402
2_thessalonians,1,12,according,,403
2_thessalonians,1,12,to,G2596,404
2_thessalonians,1,12,the,,405
2_thessalonians,1,12,grace,G5485,406
2_thessalonians,1,12,of,,407
2_thessalonians,1,12,our,G2257,408
2_thessalonians,1,12,God,G2316,410
2_thessalonians,1,12,and,G2532,412
2_thessalonians,1,12,the,,413
2_thessalonians,1,12,Lord,G2962,414
2_thessalonians,1,12,Jesus,G2424,416
2_thessalonians,1,12,Christ.,G5547,418
2_thessalonians,2,1,Now,G1161,1
2_thessalonians,2,1,we,,2
2_thessalonians,2,1,beseech,G2065,3
2_thessalonians,2,1,"you,",G5209,5
2_thessalonians,2,1,"brethren,",G80,7
2_thessalonians,2,1,by,G5228,9
2_thessalonians,2,1,the,,10
2_thessalonians,2,1,coming,G3952,11
2_thessalonians,2,1,of,,12
