book,chapter,verse,word,strongs_ref,order
jude,1,1,"Jude,",G2455,1
jude,1,1,the,,2
jude,1,1,servant,G1401,3
jude,1,1,of,,4
jude,1,1,Jesus,G2424,5
jude,1,1,"Christ,",G5547,7
jude,1,1,and,G1161,9
jude,1,1,brother,G80,11
jude,1,1,of,,12
jude,1,1,"James,",G2385,13
jude,1,1,to them that are,,14
jude,1,1,sanctified,G37,15
jude,1,1,by,G1722,17
jude,1,1,God,G2316,19
jude,1,1,the,,20
jude,1,1,"Father,",G3962,21
jude,1,1,and,G2532,23
jude,1,1,preserved,G5083,25
jude,1,1,in,,26
jude,1,1,Jesus,G2424,27
jude,1,1,"Christ,",G5547,29
jude,1,1,[and],,30
jude,1,1,called:,G2822,31
jude,1,2,Mercy,G1656,34
jude,1,2,unto,,35
jude,1,2,"you,",G5213,36
jude,1,2,and,G2532,38
jude,1,2,"peace,",G1515,40
jude,1,2,and,G2532,42
jude,1,2,"love,",G26,44
jude,1,2,be,,45
jude,1,2,multiplied,G4129,46
jude,1,2,.,,47
jude,1,3,"Beloved,",G27,49
jude,1,3,when I,,50
jude,1,3,gave,G4160,51
jude,1,3,all,G3956,53
jude,1,3,diligence,G4710,55
jude,1,3,to,,56
jude,1,3,write,G1125,57
jude,1,3,unto,,58
jude,1,3,you,G5213,59
jude,1,3,of,G4012,61
jude,1,3,the,,62
jude,1,3,common,G2839,63
jude,1,3,"salvation,",G4991,65
jude,1,3,it,,66
jude,1,3,was,G2192,67
jude,1,3,needful,G318,69
jude,1,3,for,,70
jude,1,3,me,G2192,71
jude,1,3,to,,72
jude,1,3,write,G1125,73
jude,1,3,unto,,74
jude,1,3,"you,",G5213,75
jude,1,3,and,,76
jude,1,3,exhort,G3870,77
jude,1,3,[you] that ye should earnestly,,78
jude,1,3,contend,G1864,79
jude,1,3,for the,,80
jude,1,3,faith,G4102,81
jude,1,3,which was,,82
jude,1,3,once,G530,83
jude,1,3,delivered,G3860,85
jude,1,3,unto the,,86
jude,1,3,saints.,G40,87
jude,1,4,For,G1063,90
jude,1,4,there are,,91
jude,1,4,certain,G5100,92
jude,1,4,men,G444,94
jude,1,4,crept in,,95
jude,1,4,unawares,G3921,96
jude,1,4,",",,97
jude,1,4,who,G3588,98
jude,1,4,were,,99
jude,1,4,before,G4270,100
jude,1,4,of,,101
jude,1,4,old,G3819,102
jude,1,4,ordained,G4270,104
jude,1,4,to,G1519,106
jude,1,4,this,G5124,108
jude,1,4,"condemnation,",G2917,110
jude,1,4,ungodly,,111
jude,1,4,"men,",G765,112
jude,1,4,turning,G3346,114
jude,1,4,the,,115
jude,1,4,grace,G5485,116
jude,1,4,of,,117
jude,1,4,our,G2257,118
jude,1,4,God,G2316,120
jude,1,4,into,G1519,122
jude,1,4,"lasciviousness,",G766,124
jude,1,4,and,G2532,126
jude,1,4,denying,G720,128
jude,1,4,the,,129
jude,1,4,only,G3441,130
jude,1,4,Lord,G1203,132
jude,1,4,"God,",G2316,134
jude,1,4,and,G2532,136
jude,1,4,our,G2257,138
jude,1,4,Lord,G2962,140
jude,1,4,Jesus,G2424,142
jude,1,4,Christ.,G5547,144
jude,1,5,I,,146
jude,1,5,will,G1014,147
jude,1,5,therefore,G1161,149
jude,1,5,put,G5279,151
jude,1,5,you,G5209,153
jude,1,5,in,,154
jude,1,5,remembrance,G5279,155
jude,1,5,", though",,156
jude,1,5,ye,G5209,157
jude,1,5,once,G530,159
jude,1,5,knew,G1492,161
jude,1,5,"this,",G5124,163
jude,1,5,how,,164
jude,1,5,that,G3754,165
jude,1,5,the,,166
jude,1,5,"Lord,",G2962,167
jude,1,5,having,,168
jude,1,5,saved,G4982,169
jude,1,5,the,,170
jude,1,5,people,G2992,171
jude,1,5,out,,172
jude,1,5,of,G1537,173
jude,1,5,the,,174
jude,1,5,land,G1093,175
jude,1,5,of,,176
jude,1,5,"Egypt,",G125,177
jude,1,5,afterward,G1208,179
jude,1,5,destroyed,G622,181
jude,1,5,them that,,182
jude,1,5,believed,G4100,183
jude,1,5,not.,G3361,185
jude,1,6,And,G5037,188
jude,1,6,the,,189
jude,1,6,angels,G32,190
jude,1,6,which,,191
jude,1,6,kept,G5083,192
jude,1,6,not,G3361,194
jude,1,6,their,G1438,196
jude,1,6,first,,197
jude,1,6,"estate,",G746,198
jude,1,6,but,G235,200
jude,1,6,left,G620,202
jude,1,6,their,,203
jude,1,6,own,G2398,204
jude,1,6,"habitation,",G3613,206
jude,1,6,he hath,,207
jude,1,6,reserved,G5083,208
jude,1,6,in,,209
jude,1,6,everlasting,G126,210
jude,1,6,chains,G1199,212
jude,1,6,under,G5259,214
jude,1,6,darkness,G2217,216
jude,1,6,unto,G1519,218
jude,1,6,the,,219
jude,1,6,judgment,G2920,220
jude,1,6,of the,,221
jude,1,6,great,G3173,222
jude,1,6,day.,G2250,224
jude,1,7,Even,,226
jude,1,7,as,G5613,227
jude,1,7,Sodom,G4670,229
jude,1,7,and,G2532,231
jude,1,7,"Gomorrha,",G1116,233
jude,1,7,and,G2532,235
jude,1,7,the,,236
jude,1,7,cities,G4172,237
jude,1,7,about,G4012,239
jude,1,7,them,G846,241
jude,1,7,in,,242
jude,1,7,like,G5125,243
jude,1,7,*,G3664,245
jude,1,7,"manner,",G5158,247
jude,1,7,giving themselves over to,,248
jude,1,7,fornication,G1608,249
jude,1,7,",",,250
jude,1,7,and,G2532,251
jude,1,7,going,G565,253
jude,1,7,after,G3694,255
jude,1,7,strange,G2087,257
jude,1,7,"flesh,",G4561,259
jude,1,7,are set forth,,260
jude,1,7,for,G4295,261
jude,1,7,an,,262
jude,1,7,"example,",G1164,263
jude,1,7,suffering,G5254,265
jude,1,7,the,,266
jude,1,7,vengeance,G1349,267
jude,1,7,of,,268
jude,1,7,eternal,G166,269
