book,chapter,verse,word,strongs_ref,order
obadiah,1,1,The,,0
obadiah,1,1,vision,H2377,1
obadiah,1,1,of,,2
obadiah,1,1,Obadiah.,H5662,3
obadiah,1,1,Thus,,4
obadiah,1,1,saith,H559,5
obadiah,1,1,the,,6
obadiah,1,1,Lord,H136,7
obadiah,1,1,GOD,H3069,9
obadiah,1,1,concerning,,10
obadiah,1,1,Edom;,H123,11
obadiah,1,1,We have,,12
obadiah,1,1,heard,H8085,13
obadiah,1,1,a,,14
obadiah,1,1,rumour,H8052,15
obadiah,1,1,from the,,16
obadiah,1,1,"LORD,",H3068,17
obadiah,1,1,and an,,18
obadiah,1,1,ambassador,H6735,19
obadiah,1,1,is,,20
obadiah,1,1,sent,H7971,21
obadiah,1,1,among the,,22
obadiah,1,1,"heathen,",H1471,23
obadiah,1,1,Arise,H6965,25
obadiah,1,1,"ye, and let us rise",,26
obadiah,1,1,up,H6965,27
obadiah,1,1,against her in,,28
obadiah,1,1,battle.,H4421,29
obadiah,1,2,"Behold, I have",,31
obadiah,1,2,made,H5414,32
obadiah,1,2,thee,,33
obadiah,1,2,small,H6996,34
obadiah,1,2,among the,,35
obadiah,1,2,heathen:,H1471,36
obadiah,1,2,thou art,,37
obadiah,1,2,greatly,H3966,38
obadiah,1,2,despised,H959,40
obadiah,1,2,.,,41
obadiah,1,3,The,,42
obadiah,1,3,pride,H2087,43
obadiah,1,3,of thine,,44
obadiah,1,3,heart,H3820,45
obadiah,1,3,hath,,46
obadiah,1,3,deceived,H5377,47
obadiah,1,3,"thee, thou that",,48
obadiah,1,3,dwellest,H7931,49
obadiah,1,3,in the,,50
obadiah,1,3,clefts,H2288,51
obadiah,1,3,of the,,52
obadiah,1,3,"rock,",H5553,53
obadiah,1,3,whose,,54
obadiah,1,3,habitation,H3427,55
obadiah,1,3,is,,56
obadiah,1,3,high;,H4791,57
obadiah,1,3,that,,58
obadiah,1,3,saith,H559,59
obadiah,1,3,in his,,60
